;Jandaia;Cumaru
1;93.961;136.483
2;81.46;123.318
3;67.979;127.368
4;70.743;142.179
5;78.132;136.61
6;58.338;129.356
7;39.665;135.774
8;20.101;94.742
9;30.023;125.689
10;42.594;138.542
11;42.873;130.483
12;35.17;128.029
13;33.643;146.246
14;44.496;153.399
15;40.267;138.402
16;34.422;138.171
17;38.899;109.932
18;61.871;99.965
19;59.116;93.537
20;76.339;121.435
21;82.772;118.902
22;77.124;141.874
23;76.286;156.659
24;63.901;141.992
25;62.843;163.937
26;46.694;156.608
27;37.702;110.012
28;37.139;81.667
29;22.511;76.248
30;27.352;43.685
31;12.455;21.284
32;5.532;7.14
33;1.504;11.648
34;10.995;26.194
35;15.805;29.407
36;14.352;11.3
37;23.492;5.358
38;24.105;16.56
39;14.001;21.216
40;16.571;31.686
41;35.85;38.814
42;48.913;37.25
43;47.758;51.05
44;60.564;25.348
45;66.487;17.988
46;70.535;36.584
47;55.052;28.655
48;35.917;40.602
49;27.047;27.892
50;47.246;14.448
51;42.041;13.114
52;43.391;13.09
53;17.783;7.586
54;9.048;9.487
55;33.411;15.102
56;1.261;11.051
57;1.267;17.69
58;6.768;38.024
59;37.623;33.02
60;23.822;29.516
61;35.362;25.868
62;31.281;41.774
63;22.791;34.133
64;20.02;34.768
65;12.362;17.177
66;10.698;23.59
67;14.167;11.685
68;16.486;16.896
69;20.827;17.652
70;18.957;12.686
71;23.853;11.516
72;26.841;46.182
73;30.801;21.842
74;25.877;56.022
75;19.461;24.035
76;16.878;24.737
77;17.425;16.397
78;13.159;47.074
79;13.895;66.065
80;15.044;15.321
81;9.061;19.686
82;10.571;69.822
83;23.133;115.216
84;28.793;22.849
85;32.422;64.677
86;37.81;110.38
87;40.889;122.904
88;38.576;117.871
89;34.599;101.655
90;19.701;112.796
91;10.677;121.518
92;20.143;139.253
93;22.867;133.044
94;24.353;145.552
95;25.9;144.326
96;45.345;142.932
97;46.908;112.378
98;55.082;69.888
99;59.445;30.577
100;59.85;41.174
101;50.292;79.369
102;17.398;88.67
103;11.702;88.285
104;5.658;94.636
105;11.191;108.596
106;29.596;112.796
107;26.458;105.814
108;20.678;103.45
109;30.801;102.687
110;20.885;89.459
111;16.111;97.776
112;16.349;118.645
113;13.257;94.333
114;20.243;102.27
115;38.471;136.813
116;49.819;119.552
117;46.635;87.238
118;66.947;106.232
119;96.58;117.956
120;99.89;131.083
121;97.803;162.485
122;94.352;155.102
123;83.32;141.433
124;68.48;139.25
125;65.714;151.702
126;62.179;154.309
127;44.951;138.61
128;21.698;134.318
129;28.869;132.397
130;13.289;149.117
131;26.396;139.623
132;35.152;147.036
133;33.818;135.384
134;35.584;128.146
135;40.798;144.642
136;31.606;151.932
137;30.793;143.565
138;46.008;170.422
139;55.24;153.185
140;82.464;167.455
141;91.774;170.659
142;105.752;158.666
143;113.724;168.814
144;114.578;147.09
145;102.538;159.95
146;89.88;162.156
147;84.41;113.806
148;83.639;93.102
149;77.408;128.128
150;80.454;111.381
151;59.602;64.902
152;30.032;50.108
153;30.637;68.178
154;32.498;64.675
155;54.62;84.928
156;90.655;112.594
157;75.678;131.709
158;39.581;126.99
159;39.654;131.462
160;42.089;131.763
161;62.728;123.984
162;69.248;106.514
163;79.092;131.422
164;96.094;146.084
165;106.431;136.734
166;105.065;152.294
167;94.128;163.051
168;92.184;176.361
169;106.124;168.192
170;88.976;177.646
171;68.621;159.972
172;55.843;166.822
173;59.27;184.214
174;65.651;188.882
175;76.76;172.19
176;57.646;148.686
177;51.34;150.62
178;39.183;160.862
179;28.596;157.571
180;16.75;148.674
181;17.459;152.383
182;13.785;149.078
183;15.961;138.026
184;25.371;130.284
185;29.472;124.948
186;33.165;139.069
187;51.369;153.051
188;64.487;148.788
189;65.393;138.194
190;88.381;117.992
191;109.042;140.914
192;104.267;164.806
193;108.033;115.302
194;107.078;125.161
195;99.87;129.878
196;89.313;141.427
197;57.532;58.89
198;73.698;30.278
199;58.023;43.458
200;39.926;56.619
201;53.033;84.67
202;58.243;118.908
203;67.757;123.079
204;82.097;106.176
205;48.776;92.878
206;32.579;77.367
207;37.602;73.426
208;30.611;84.005
209;31.116;113.832
210;33.407;122.804
211;44.007;103.518
212;51.521;105.019
213;68.332;100.124
214;65.26;116.199
215;67.776;139.124
216;87.742;163.521
217;96.923;155.499
218;91.545;146.508
219;77.017;136.7
220;62.12;136.7
221;43.434;136.7
222;52.073;136.7
223;47.428;136.7
224;40.473;136.7
225;52.067;146.494
226;42.185;161.008
227;61.275;148.353
228;79.235;132.628
229;63.212;134.995
230;40.825;128.651
231;33.027;126.593
232;31.243;136.665
233;35.847;136.665
234;34.822;136.665
235;45.7;136.665
236;66.565;136.665
237;76.281;136.665
238;73.205;136.665
239;68.879;136.665
240;62.929;136.665
241;62.682;131.892
242;68.836;130.423
243;56.613;135.08
244;35.983;142.389
245;25.975;140.482
246;34.429;134.45
247;20.572;119.755
248;12.697;104.694
249;19.584;107.67
250;61.962;136.24
251;81.479;132.538
252;71.721;131.669
253;66.902;131.669
254;62.354;133.064
255;56.35;135.481
256;56.769;134.588
257;59.741;131.558
258;46.019;131.669
259;41.822;131.669
260;47.927;131.666
261;61.015;131.669
262;72.573;131.669
263;78.524;131.669
264;94.258;131.669
265;84.239;134.24
266;65.044;136.765
267;59.707;136.765
268;57.574;136.765
269;41.591;136.765
270;21.237;136.765
271;23.201;136.765
272;18.855;136.765
273;71.962;76.267
274;79.634;103.556
275;87.303;87.143
276;69.26;85
277;63.795;85
278;65.384;85
279;56.897;113.814
280;58.696;122.168
281;63.575;114.26
282;58.469;152.3
283;63.428;156.845
284;75.628;156.158
285;75.202;182.822
286;100.697;178.55
287;114.929;174.818
